Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
2010/9/20,1142.71,,,1126.57,,,1144.86,,,1126.57,,
2010/9/17,1125.59,,,1126.39,,,1131.47,,,1122.43,,
2010/9/16,1124.66,,,1123.89,,,1125.44,,,1118.88,,
2010/9/15,1125.07,,,1119.43,,,1126.46,,,1114.63,,
2010/9/14,1121.1,,,1121.16,,,1127.36,,,1115.58,,
2010/9/13,1121.9,,,1113.38,,,1123.87,,,1113.38,,
2010/9/10,1109.55,,,1104.57,,,1110.88,,,1103.92,,
2010/9/9,1104.18,,,1101.15,,,1110.27,,,1101.15,,
2010/9/8,1098.87,,,1092.36,,,1103.26,,,1092.36,,
2010/9/7,1091.84,,,1102.6,,,1102.6,,,1091.15,,
2010/9/3,1104.51,,,1093.61,,,1105.1,,,1093.61,,
2010/9/2,1090.1,,,1080.66,,,1090.1,,,1080.39,,
2010/9/1,1080.29,,,1049.72,,,1081.3,,,1049.72,,
2010/8/31,1049.33,,,1046.88,,,1055.14,,,1040.88,,
2010/8/30,1048.92,,,1062.9,,,1064.4,,,1048.79,,
2010/8/27,1064.59,,,1049.27,,,1065.21,,,1039.7,,
2010/8/26,1047.22,,,1056.28,,,1061.45,,,1045.4,,
2010/8/25,1055.33,,,1048.98,,,1059.38,,,1039.83,,
2010/8/24,1051.87,,,1063.2,,,1063.2,,,1046.68,,
2010/8/23,1067.36,,,1073.36,,,1081.58,,,1067.08,,
2010/8/20,1071.69,,,1075.63,,,1075.63,,,1063.91,,
2010/8/19,1075.63,,,1092.44,,,1092.44,,,1070.66,,
2010/8/18,1094.16,,,1092.08,,,1099.77,,,1085.76,,
2010/8/17,1092.54,,,1081.16,,,1100.14,,,1081.16,,
2010/8/16,1079.38,,,1077.49,,,1082.62,,,1069.49,,
2010/8/13,1079.25,,,1082.22,,,1086.25,,,1079,,
2010/8/12,1083.61,,,1081.48,,,1086.72,,,1076.69,,
2010/8/11,1089.47,,,1116.89,,,1116.89,,,1088.55,,
2010/8/10,1121.06,,,1122.92,,,1127.16,,,1111.58,,
2010/8/9,1127.79,,,1122.8,,,1129.24,,,1120.91,,
2010/8/6,1121.64,,,1122.07,,,1123.06,,,1107.17,,
2010/8/5,1125.82,,,1125.78,,,1126.56,,,1118.81,,
2010/8/4,1127.24,,,1121.06,,,1128.75,,,1119.46,,
2010/8/3,1120.46,,,1125.34,,,1125.44,,,1116.76,,
2010/8/2,1125.86,,,1107.53,,,1127.3,,,1107.53,,
2010/7/30,1101.6,,,1098.44,,,1106.44,,,1088.01,,
2010/7/29,1101.53,,,1108.07,,,1115.9,,,1092.82,,
2010/7/28,1106.13,,,1112.84,,,1114.66,,,1103.11,,
2010/7/27,1113.84,,,1117.36,,,1120.95,,,1109.78,,
2010/7/26,1115.01,,,1102.89,,,1115.01,,,1101.3,,
2010/7/23,1102.66,,,1092.17,,,1103.73,,,1087.88,,
2010/7/22,1093.67,,,1072.14,,,1097.5,,,1072.14,,
2010/7/21,1069.59,,,1086.67,,,1088.96,,,1065.25,,
2010/7/20,1083.48,,,1064.53,,,1083.94,,,1056.88,,
2010/7/19,1071.25,,,1066.85,,,1074.7,,,1061.11,,
2010/7/16,1064.88,,,1093.85,,,1093.85,,,1063.32,,
2010/7/15,1096.48,,,1094.46,,,1098.66,,,1080.53,,
2010/7/14,1095.17,,,1095.61,,,1099.08,,,1087.68,,
2010/7/13,1095.34,,,1080.65,,,1099.46,,,1080.65,,
2010/7/12,1078.75,,,1077.23,,,1080.78,,,1070.45,,
2010/7/9,1077.96,,,1070.5,,,1078.16,,,1068.1,,
2010/7/8,1070.24,,,1062.92,,,1071.25,,,1058.24,,
2010/7/7,1060.27,,,1028.54,,,1060.89,,,1028.54,,
2010/7/6,1028.06,,,1028.09,,,1042.5,,,1018.35,,
2010/7/2,1022.58,,,1027.65,,,1032.95,,,1015.93,,
2010/7/1,1027.37,,,1031.1,,,1033.58,,,1010.91,,
2010/6/30,1030.71,,,1040.56,,,1048.08,,,1028.33,,
2010/6/29,1041.24,,,1071.1,,,1071.1,,,1035.18,,
2010/6/28,1074.57,,,1077.5,,,1082.6,,,1071.45,,
2010/6/25,1076.77,,,1075.1,,,1083.56,,,1067.89,,
2010/6/24,1073.69,,,1090.93,,,1090.93,,,1071.6,,
2010/6/23,1092.04,,,1095.57,,,1099.64,,,1085.31,,
2010/6/22,1095.31,,,1113.9,,,1118.5,,,1094.18,,
2010/6/21,1113.2,,,1122.79,,,1131.23,,,1108.24,,
